Days,MFAT1,MFAT2,Roberts,Rogers,Namoi
0,,,0,0,0
30,0,0,,,
60,0,0,,,
150,1,1,1,1,1
450,1,1,,1,
600,,,,,1
930,,,1,,
1080,0,0.1,,,
1380,,,0,,0
1440,,,,0,
