Days,MFAT1,MFAT2,MFAT3,MFAT4,Roberts,Rogers,Namoi
0,0.2,0.1,0,0.1,0,0,0
1,1,,,,,,
11,,,,1,,,
30,,1,1,,,,
50,1,,,,,,
60,,,,,,1,1
100,0.5,,,,,,
150,,,,,1,,
210,,,,,1,,1
240,,,,,,1,
250,,1,1,1,,,
350,0,,,,,,
720,,0,0,0,0,0,0
