Days,MFAT1,MFAT2,MFAT3,Roberts,Rogers
0,0,0.5,0.5,0,0
5,0.05,,,,
10,0.1,,,,
11,,,1,,
14,,,,,1
15,1,1,,,
28,,,,1,
30,1,,,,
35,,1,1,,1
42,,,,1,
50,0.1,,,,
98,,,,,0
100,,0,0,,
180,,,,0,
