Days,MFAT1,MFAT2,Roberts,Rogers,Namoi,MFATwoodland
0,0,0,0,0,0,0.2
30,0,0,,,,
60,0,0,,,,
150,1,1,1,1,1,
180,,,,,,0.2
360,,,,,,0.8
450,1,1,,1,,
540,,,,,,1
600,,,,,1,
720,,,,,,1
930,,,1,,,
1020,,,,,,0.8
1080,0,0.1,,,,
1380,,,0,,0,
1440,,,,0,,
1800,,,,,,0.2
