Date,A2,gw_index,salinity,salinity_index,gw_suitability_index,sw_suitability_index,water_suitability_index
1970-02-18,14.2715724,0.0,0.0,1.0,0.0,0.523571428571,0.523571428571
1970-02-19,14.27455882,0.0,0.0,1.0,0.0,,0.0
1970-02-20,14.27754525,0.0,0.0,1.0,0.0,,0.0
1970-02-21,14.28053167,0.0,0.0,1.0,0.0,,0.0
1970-02-22,14.2835181,0.0,0.0,1.0,0.0,,0.0
1970-02-23,14.28650452,0.0,0.0,1.0,0.0,,0.0
1970-02-24,14.28949095,0.0,0.0,1.0,0.0,,0.0
1970-02-25,14.29247738,0.0,0.0,1.0,0.0,,0.0
1970-02-26,14.2954638,0.0,0.0,1.0,0.0,,0.0
1970-02-27,14.29845023,0.0,0.0,1.0,0.0,,0.0
1970-02-28,14.30143665,0.0,0.0,1.0,0.0,,0.0
1970-03-01,14.30442308,0.0,0.0,1.0,0.0,,0.0
1970-03-02,14.3074095,0.0,0.0,1.0,0.0,,0.0
1970-03-03,14.31039593,0.0,0.0,1.0,0.0,,0.0
1970-03-04,14.31338235,0.0,0.0,1.0,0.0,,0.0
1970-03-05,14.31636878,0.0,0.0,1.0,0.0,,0.0
1970-03-06,14.3193552,0.0,0.0,1.0,0.0,,0.0
1970-03-07,14.32234163,0.0,0.0,1.0,0.0,,0.0
1970-03-08,14.32532805,0.0,0.0,1.0,0.0,,0.0
1970-03-09,14.32831448,0.0,0.0,1.0,0.0,,0.0
1970-03-10,14.3313009,0.0,0.0,1.0,0.0,,0.0
1970-03-11,14.33428733,0.0,0.0,1.0,0.0,,0.0
1970-03-12,14.33727376,0.0,0.0,1.0,0.0,,0.0
1970-03-13,14.34026018,0.0,0.0,1.0,0.0,,0.0
1970-03-14,14.34324661,0.0,0.0,1.0,0.0,,0.0
1970-03-15,14.34623303,0.0,0.0,1.0,0.0,,0.0
1970-03-16,14.34921946,0.0,0.0,1.0,0.0,,0.0
1970-03-17,14.35220588,0.0,0.0,1.0,0.0,,0.0
1970-03-18,14.35519231,0.0,0.0,1.0,0.0,,0.0
1970-03-19,14.35817873,0.0,0.0,1.0,0.0,0.337142857143,0.337142857143
1970-03-20,14.36116516,0.0,0.0,1.0,0.0,0.337142857143,0.337142857143
1970-03-21,14.36415158,0.0,0.0,1.0,0.0,0.337142857143,0.337142857143
1970-03-22,14.36713801,0.0,0.0,1.0,0.0,0.337142857143,0.337142857143
1970-03-23,14.37005636,0.0,0.0,1.0,0.0,0.337142857143,0.337142857143
1970-03-24,14.37140911,0.0,0.0,1.0,0.0,0.337142857143,0.337142857143
1970-03-25,14.37276186,0.0,0.0,1.0,0.0,,0.0
1970-03-26,14.37411461,0.0,0.0,1.0,0.0,,0.0
1970-03-27,14.37546736,0.0,0.0,1.0,0.0,,0.0
1970-03-28,14.3768201,0.0,0.0,1.0,0.0,,0.0
1970-03-29,14.37817285,0.0,0.0,1.0,0.0,0.301428571429,0.301428571429
1970-03-30,14.3795256,0.0,0.0,1.0,0.0,0.301428571429,0.301428571429
1970-03-31,14.38087835,0.0,0.0,1.0,0.0,0.301428571429,0.301428571429
1970-04-01,14.38223109,0.0,0.0,1.0,0.0,0.301428571429,0.301428571429
1970-04-02,14.38358384,0.0,0.0,1.0,0.0,,0.0
1970-04-03,14.38493659,0.0,0.0,1.0,0.0,,0.0
1970-04-04,14.38628934,0.0,0.0,1.0,0.0,,0.0
1970-04-05,14.38764209,0.0,0.0,1.0,0.0,,0.0
1970-04-06,14.38899483,0.0,0.0,1.0,0.0,,0.0
1970-04-07,14.39034758,0.0,0.0,1.0,0.0,,0.0
1970-04-08,14.39170033,0.0,0.0,1.0,0.0,,0.0
1970-04-09,14.39305308,0.0,0.0,1.0,0.0,,0.0
1970-04-10,14.39440582,0.0,0.0,1.0,0.0,0.283571428571,0.283571428571
1970-04-11,14.39575857,0.0,0.0,1.0,0.0,0.283571428571,0.283571428571
1970-04-12,14.39711132,0.0,0.0,1.0,0.0,0.283571428571,0.283571428571
1970-04-13,14.39846407,0.0,0.0,1.0,0.0,0.283571428571,0.283571428571
1970-04-14,14.39981682,0.0,0.0,1.0,0.0,,0.0
1970-04-15,14.40093442,0.0,0.0,1.0,0.0,,0.0
1970-04-16,14.4020152,0.0,0.0,1.0,0.0,,0.0
1970-04-17,14.40309598,0.0,0.0,1.0,0.0,,0.0
1970-04-18,14.40417675,0.0,0.0,1.0,0.0,,0.0
