Date,A1,A2,A3,A4,A5,A6,A7,A8
1968-06-22,9.21137931,NA,NA,NA,NA,20.45,20.45,NA
1968-06-23,9.215517241,NA,NA,NA,NA,20.45,20.45,NA
1968-06-24,9.219655172,NA,NA,NA,NA,20.45,20.45,NA
1968-06-25,9.223793103,NA,NA,NA,NA,20.45,20.45,NA
1968-06-26,9.227931034,NA,NA,NA,NA,20.45,20.45,NA
1968-06-27,9.232068966,NA,NA,NA,NA,20.45,20.45,NA
1968-06-28,9.236206897,NA,NA,NA,NA,20.45,20.45,NA
1968-06-29,9.240344828,NA,NA,NA,NA,20.45,20.45,NA
1968-06-30,9.244482759,NA,NA,NA,NA,20.45,20.45,NA
1968-07-01,9.24862069,NA,NA,NA,NA,20.45,20.45,NA
1968-07-02,9.252758621,NA,NA,NA,NA,20.45,20.45,NA
1968-07-03,9.256896552,NA,NA,NA,NA,20.45,20.45,NA
1968-07-04,9.261034483,NA,NA,NA,NA,20.45,20.45,NA
1968-07-05,9.265172414,NA,NA,NA,NA,20.45,20.45,NA
1968-07-06,9.269310345,NA,NA,NA,NA,20.45,20.45,NA
1968-07-07,9.273448276,NA,NA,NA,NA,20.45,20.45,NA
1968-07-08,9.277586207,NA,NA,NA,NA,20.45,20.45,NA
1968-07-09,9.281724138,NA,NA,NA,NA,20.45,20.45,NA
1968-07-10,9.285862069,NA,NA,NA,NA,20.45,20.45,NA
1968-07-11,9.29,NA,NA,NA,NA,20.45,20.45,NA
1968-07-12,9.294137931,NA,NA,NA,NA,20.45,20.45,NA
1968-07-13,9.298275862,NA,NA,NA,NA,20.45,20.45,NA
1968-07-14,9.302413793,NA,NA,NA,NA,20.45,20.45,NA
1968-07-15,9.306551724,NA,NA,NA,NA,20.45,20.45,NA
1968-07-16,9.310689655,NA,NA,NA,NA,20.45,20.45,NA
1968-07-17,9.314827586,NA,NA,NA,NA,20.45,20.45,NA
1968-07-18,9.318965517,NA,NA,NA,NA,20.45,20.45,NA
1968-07-19,9.323103448,NA,NA,NA,NA,20.45,20.45,NA
1968-07-20,9.327241379,NA,NA,NA,NA,20.45,20.45,NA
1968-07-21,9.33137931,NA,NA,NA,NA,20.45,20.45,NA
1968-07-22,9.335517241,NA,NA,NA,NA,20.45,20.45,NA
1968-07-23,9.339655172,NA,NA,NA,NA,20.45,20.45,NA
1968-07-24,9.343793103,NA,NA,NA,NA,20.45,20.45,NA
1968-07-25,9.347931034,NA,NA,NA,NA,20.45,20.45,NA
1968-07-26,9.348404255,NA,NA,NA,NA,20.45,20.45,NA
1968-07-27,9.345212766,NA,NA,NA,NA,20.45,20.45,NA
1968-07-28,9.342021277,NA,NA,NA,NA,20.45,20.45,NA
1968-07-29,9.338829787,NA,NA,NA,NA,20.45,20.45,NA
1968-07-30,9.335638298,NA,NA,NA,NA,20.45,20.45,NA
1968-07-31,9.332446809,NA,NA,NA,NA,20.45,20.45,NA
