Date,A1,A2,A3,A4,A5,A6,A7,A8
10/04/1968,NA,NA,NA,NA,NA,20.4995098,20.4995098,NA
11/04/1968,NA,NA,NA,NA,NA,20.49852941,20.49852941,NA
12/04/1968,NA,NA,NA,NA,NA,20.49754902,20.49754902,NA
13/04/1968,NA,NA,NA,NA,NA,20.49656863,20.49656863,NA
14/04/1968,NA,NA,NA,NA,NA,20.49558824,20.49558824,NA
15/04/1968,NA,NA,NA,NA,NA,20.49460784,20.49460784,NA
16/04/1968,NA,NA,NA,NA,NA,20.49362745,20.49362745,NA
17/04/1968,NA,NA,NA,NA,NA,20.49264706,20.49264706,NA
18/04/1968,NA,NA,NA,NA,NA,20.49166667,20.49166667,NA
19/04/1968,NA,NA,NA,NA,NA,20.49068627,20.49068627,NA
20/04/1968,NA,NA,NA,NA,NA,20.48970588,20.48970588,NA
21/04/1968,NA,NA,NA,NA,NA,20.48872549,20.48872549,NA
22/04/1968,NA,NA,NA,NA,NA,20.4877451,20.4877451,NA
23/04/1968,NA,NA,NA,NA,NA,20.48676471,20.48676471,NA
24/04/1968,NA,NA,NA,NA,NA,20.48578431,20.48578431,NA
25/04/1968,NA,NA,NA,NA,NA,20.48480392,20.48480392,NA
26/04/1968,NA,NA,NA,NA,NA,20.48382353,20.48382353,NA
27/04/1968,NA,NA,NA,NA,NA,20.48284314,20.48284314,NA
28/04/1968,NA,NA,NA,NA,NA,20.48186275,20.48186275,NA
29/04/1968,NA,NA,NA,NA,NA,20.48088235,20.48088235,NA
30/04/1968,NA,NA,NA,NA,NA,20.47990196,20.47990196,NA
1/05/1968,NA,NA,NA,NA,NA,20.47892157,20.47892157,NA
2/05/1968,NA,NA,NA,NA,NA,20.47794118,20.47794118,NA
3/05/1968,NA,NA,NA,NA,NA,20.47696078,20.47696078,NA
4/05/1968,NA,NA,NA,NA,NA,20.47598039,20.47598039,NA
5/05/1968,NA,NA,NA,NA,NA,20.475,20.475,NA
6/05/1968,9.1475,NA,NA,NA,NA,20.47401961,20.47401961,NA
7/05/1968,9.1625,NA,NA,NA,NA,20.47303922,20.47303922,NA
8/05/1968,9.1775,NA,NA,NA,NA,20.47205882,20.47205882,NA
9/05/1968,9.1925,NA,NA,NA,NA,20.47107843,20.47107843,NA
10/05/1968,9.197631579,NA,NA,NA,NA,20.47009804,20.47009804,NA
11/05/1968,9.192894737,NA,NA,NA,NA,20.46911765,20.46911765,NA
12/05/1968,9.188157895,NA,NA,NA,NA,20.46813725,20.46813725,NA
13/05/1968,9.183421053,NA,NA,NA,NA,20.46715686,20.46715686,NA
14/05/1968,9.178684211,NA,NA,NA,NA,20.46617647,20.46617647,NA
15/05/1968,9.173947368,NA,NA,NA,NA,20.46519608,20.46519608,NA
16/05/1968,9.169210526,NA,NA,NA,NA,20.46421569,20.46421569,NA
17/05/1968,9.164473684,NA,NA,NA,NA,20.46323529,20.46323529,NA
18/05/1968,9.159736842,NA,NA,NA,NA,20.4622549,20.4622549,NA
19/05/1968,9.155,NA,NA,NA,NA,20.46127451,20.46127451,NA
20/05/1968,9.150263158,NA,NA,NA,NA,20.46029412,20.46029412,NA
21/05/1968,9.145526316,NA,NA,NA,NA,20.45931373,20.45931373,NA
22/05/1968,9.140789474,NA,NA,NA,NA,20.45833333,20.45833333,NA
23/05/1968,9.136052632,NA,NA,NA,NA,20.45735294,20.45735294,NA
24/05/1968,9.131315789,NA,NA,NA,NA,20.45637255,20.45637255,NA
25/05/1968,9.126578947,NA,NA,NA,NA,20.45539216,20.45539216,NA
26/05/1968,9.121842105,NA,NA,NA,NA,20.45441176,20.45441176,NA
27/05/1968,9.117105263,NA,NA,NA,NA,20.45343137,20.45343137,NA
28/05/1968,9.112368421,NA,NA,NA,NA,20.45245098,20.45245098,NA
29/05/1968,9.112068966,NA,NA,NA,NA,20.45147059,20.45147059,NA
30/05/1968,9.116206897,NA,NA,NA,NA,20.4504902,20.4504902,NA
31/05/1968,9.120344828,NA,NA,NA,NA,20.45,20.45,NA
1/06/1968,9.124482759,NA,NA,NA,NA,20.45,20.45,NA
2/06/1968,9.12862069,NA,NA,NA,NA,20.45,20.45,NA
3/06/1968,9.132758621,NA,NA,NA,NA,20.45,20.45,NA
4/06/1968,9.136896552,NA,NA,NA,NA,20.45,20.45,NA
5/06/1968,9.141034483,NA,NA,NA,NA,20.45,20.45,NA
6/06/1968,9.145172414,NA,NA,NA,NA,20.45,20.45,NA
7/06/1968,9.149310345,NA,NA,NA,NA,20.45,20.45,NA
8/06/1968,9.153448276,NA,NA,NA,NA,20.45,20.45,NA
9/06/1968,9.157586207,NA,NA,NA,NA,20.45,20.45,NA
10/06/1968,9.161724138,NA,NA,NA,NA,20.45,20.45,NA
11/06/1968,9.165862069,NA,NA,NA,NA,20.45,20.45,NA
12/06/1968,9.17,NA,NA,NA,NA,20.45,20.45,NA
13/06/1968,9.174137931,NA,NA,NA,NA,20.45,20.45,NA
14/06/1968,9.178275862,NA,NA,NA,NA,20.45,20.45,NA
15/06/1968,9.182413793,NA,NA,NA,NA,20.45,20.45,NA
16/06/1968,9.186551724,NA,NA,NA,NA,20.45,20.45,NA
17/06/1968,9.190689655,NA,NA,NA,NA,20.45,20.45,NA
18/06/1968,9.194827586,NA,NA,NA,NA,20.45,20.45,NA
19/06/1968,9.198965517,NA,NA,NA,NA,20.45,20.45,NA
20/06/1968,9.203103448,NA,NA,NA,NA,20.45,20.45,NA
21/06/1968,9.207241379,NA,NA,NA,NA,20.45,20.45,NA
22/06/1968,9.21137931,NA,NA,NA,NA,20.45,20.45,NA
23/06/1968,9.215517241,NA,NA,NA,NA,20.45,20.45,NA
24/06/1968,9.219655172,NA,NA,NA,NA,20.45,20.45,NA
25/06/1968,9.223793103,NA,NA,NA,NA,20.45,20.45,NA
26/06/1968,9.227931034,NA,NA,NA,NA,20.45,20.45,NA
