group,start,end,duration,dry_period,timing,flood_timing,flood_duration,flood_dry_period,sw_suitability_index
181.0,1969-07-25,1969-07-28,4.0,7,7,0.5,0.142857142857,1.0,0.421428571429
183.0,1969-08-27,1969-09-02,7.0,30,8,0.5,0.25,1.0,0.475
185.0,1969-09-05,1969-09-10,6.0,3,9,1.0,0.214285714286,1.0,0.607142857143
187.0,1969-09-24,1969-09-26,3.0,14,9,1.0,0.107142857143,1.0,0.553571428571
190.0,1969-10-20,1969-10-22,3.0,18,10,1.0,0.107142857143,1.0,0.553571428571
192.0,1969-10-27,1969-10-31,5.0,5,10,1.0,0.178571428571,1.0,0.589285714286
194.0,1970-01-02,1970-01-07,6.0,63,1,0.9,0.214285714286,1.0,0.577142857143
199.0,1970-02-16,1970-02-18,3.0,27,2,0.9,0.107142857143,1.0,0.523571428571
202.0,1970-03-19,1970-03-24,6.0,26,3,0.1,0.214285714286,1.0,0.337142857143
204.0,1970-03-29,1970-04-01,4.0,5,3,0.1,0.142857142857,1.0,0.301428571429
206.0,1970-04-10,1970-04-13,3.0,9,4,0.1,0.107142857143,1.0,0.283571428571
208.0,1970-04-22,1970-05-13,22.0,9,4,0.1,0.785714285714,1.0,0.622857142857
210.0,1970-08-18,1970-08-20,3.0,97,8,0.5,0.107142857143,1.0,0.403571428571
212.0,1970-08-27,1970-08-30,3.0,7,8,0.5,0.107142857143,1.0,0.403571428571
214.0,1970-09-08,1970-10-10,33.0,9,9,1.0,1.0,1.0,1.0
221.0,1970-11-10,1970-11-26,17.0,16,11,1.0,0.607142857143,1.0,0.803571428571
225.0,1970-12-10,1970-12-13,4.0,3,12,1.0,0.142857142857,1.0,0.571428571429
231.0,1971-01-30,1971-02-07,9.0,12,1,0.9,0.321428571429,1.0,0.630714285714
234.0,1971-03-09,1971-03-12,4.0,14,3,0.1,0.142857142857,1.0,0.301428571429
237.0,1971-04-17,1971-04-22,5.0,7,4,0.1,0.178571428571,1.0,0.319285714286
239.0,1971-04-26,1971-05-03,7.0,4,4,0.1,0.25,1.0,0.355
241.0,1971-05-06,1971-05-09,4.0,3,5,0.1,0.142857142857,1.0,0.301428571429
243.0,1971-06-05,1971-06-07,3.0,27,6,0.1,0.107142857143,1.0,0.283571428571
245.0,1971-08-02,1971-08-11,8.0,56,8,0.5,0.285714285714,1.0,0.492857142857
247.0,1971-08-26,1971-09-04,10.0,15,8,0.5,0.357142857143,1.0,0.528571428571
249.0,1971-09-17,1971-12-01,76.0,13,9,1.0,0.753623188406,1.0,0.876811594203
252.0,1971-12-23,1971-12-27,5.0,8,12,1.0,0.178571428571,1.0,0.589285714286
254.0,1972-01-07,1972-01-13,7.0,11,1,0.9,0.25,1.0,0.595
258.0,1972-02-15,1972-02-24,10.0,23,2,0.9,0.357142857143,1.0,0.648571428571
261.0,1972-03-03,1972-03-06,4.0,5,3,0.1,0.142857142857,1.0,0.301428571429
263.0,1972-03-10,1972-03-12,3.0,4,3,0.1,0.107142857143,1.0,0.283571428571
265.0,1972-04-03,1972-04-10,8.0,22,4,0.1,0.285714285714,1.0,0.372857142857
267.0,1972-04-22,1972-04-27,6.0,12,4,0.1,0.214285714286,1.0,0.337142857143
272.0,1972-05-25,1972-05-27,3.0,13,5,0.1,0.107142857143,1.0,0.283571428571
275.0,1972-08-10,1972-08-13,4.0,24,8,0.5,0.142857142857,1.0,0.421428571429
281.0,1973-01-13,1973-01-16,4.0,120,1,0.9,0.142857142857,1.0,0.541428571429
285.0,1973-02-05,1973-02-11,7.0,6,2,0.9,0.25,1.0,0.595
287.0,1973-02-19,1973-02-25,7.0,8,2,0.9,0.25,1.0,0.595
298.0,1973-04-16,1973-04-21,5.0,5,4,0.1,0.178571428571,1.0,0.319285714286
300.0,1973-04-24,1973-05-17,22.0,3,4,0.1,0.785714285714,1.0,0.622857142857
302.0,1973-05-28,1973-06-07,11.0,11,5,0.1,0.392857142857,1.0,0.426428571429
304.0,1973-06-10,1973-11-18,162.0,3,6,0.1,0.130434782609,1.0,0.295217391304
310.0,1973-12-15,1973-12-18,4.0,16,12,1.0,0.142857142857,1.0,0.571428571429
312.0,1973-12-22,1973-12-26,5.0,4,12,1.0,0.178571428571,1.0,0.589285714286
314.0,1973-12-30,1974-01-01,3.0,4,12,1.0,0.107142857143,1.0,0.553571428571
316.0,1974-01-04,1974-01-07,4.0,3,1,0.9,0.142857142857,1.0,0.541428571429
318.0,1974-01-10,1974-01-21,12.0,3,1,0.9,0.428571428571,1.0,0.684285714286
322.0,1974-02-02,1974-02-08,7.0,8,2,0.9,0.25,1.0,0.595
324.0,1974-02-17,1974-02-20,4.0,9,2,0.9,0.142857142857,1.0,0.541428571429
326.0,1974-03-03,1974-03-05,3.0,11,3,0.1,0.107142857143,1.0,0.283571428571
328.0,1974-03-08,1974-03-15,6.0,3,3,0.1,0.214285714286,1.0,0.337142857143
330.0,1974-03-21,1974-04-01,11.0,6,3,0.1,0.392857142857,1.0,0.426428571429
332.0,1974-04-06,1974-04-13,8.0,5,4,0.1,0.285714285714,1.0,0.372857142857
334.0,1974-04-19,1974-12-02,228.0,6,4,0.1,0.0,1.0,0.23
337.0,1975-02-10,1975-02-13,4.0,30,2,0.9,0.142857142857,1.0,0.541428571429
342.0,1975-04-20,1975-04-22,3.0,29,4,0.1,0.107142857143,1.0,0.283571428571
347.0,1975-05-13,1975-05-19,7.0,3,5,0.1,0.25,1.0,0.355
349.0,1975-08-12,1975-08-16,5.0,85,8,0.5,0.178571428571,1.0,0.439285714286
351.0,1975-08-27,1975-08-29,3.0,11,8,0.5,0.107142857143,1.0,0.403571428571
353.0,1975-09-06,1975-09-08,3.0,8,9,1.0,0.107142857143,1.0,0.553571428571
356.0,1975-11-18,1975-11-27,10.0,66,11,1.0,0.357142857143,1.0,0.678571428571
360.0,1975-12-14,1975-12-18,5.0,10,12,1.0,0.178571428571,1.0,0.589285714286
362.0,1976-01-13,1976-01-15,3.0,26,1,0.9,0.107142857143,1.0,0.523571428571
367.0,1976-11-02,1976-11-04,3.0,153,11,1.0,0.107142857143,1.0,0.553571428571
369.0,1977-05-18,1977-05-20,3.0,195,5,0.1,0.107142857143,1.0,0.283571428571
375.0,1978-05-20,1978-05-23,4.0,37,5,0.1,0.142857142857,1.0,0.301428571429
377.0,1978-06-11,1978-06-17,7.0,19,6,0.1,0.25,1.0,0.355
379.0,1978-07-08,1978-07-11,4.0,21,7,0.5,0.142857142857,1.0,0.421428571429
381.0,1978-07-21,1978-08-05,16.0,10,7,0.5,0.571428571429,1.0,0.635714285714
383.0,1978-08-08,1978-08-24,17.0,3,8,0.5,0.607142857143,1.0,0.653571428571
385.0,1978-09-08,1978-10-09,32.0,15,9,1.0,1.0,1.0,1.0
387.0,1978-10-30,1978-11-04,6.0,21,10,1.0,0.214285714286,1.0,0.607142857143
389.0,1978-11-20,1978-12-05,16.0,16,11,1.0,0.571428571429,1.0,0.785714285714
393.0,1979-04-04,1979-04-07,3.0,98,4,0.1,0.107142857143,1.0,0.283571428571
395.0,1979-05-15,1979-05-20,6.0,38,5,0.1,0.214285714286,1.0,0.337142857143
397.0,1979-08-19,1979-08-23,5.0,91,8,0.5,0.178571428571,1.0,0.439285714286
399.0,1979-08-28,1979-09-19,23.0,5,8,0.5,0.821428571429,1.0,0.760714285714
401.0,1979-09-28,1979-11-04,38.0,9,9,1.0,1.0,1.0,1.0
403.0,1979-11-12,1979-11-14,3.0,8,11,1.0,0.107142857143,1.0,0.553571428571
405.0,1980-03-08,1980-03-10,3.0,115,3,0.1,0.107142857143,1.0,0.283571428571
407.0,1980-04-20,1980-05-01,12.0,41,4,0.1,0.428571428571,1.0,0.444285714286
409.0,1980-05-10,1980-05-16,7.0,9,5,0.1,0.25,1.0,0.355
413.0,1980-07-01,1980-07-03,3.0,42,7,0.5,0.107142857143,1.0,0.403571428571
421.0,1981-03-30,1981-04-02,4.0,58,3,0.1,0.142857142857,1.0,0.301428571429
424.0,1981-06-02,1981-06-07,6.0,22,6,0.1,0.214285714286,1.0,0.337142857143
428.0,1981-06-24,1981-10-12,111.0,10,6,0.1,0.5,1.0,0.48
430.0,1981-10-21,1981-10-24,4.0,9,10,1.0,0.142857142857,1.0,0.571428571429
