Variable, Best Guess, Min, Max
yield_per_Ha, 5.5, 1.5, 6.0
price_per_yield, 86.91, 150, 520
variable_cost_per_Ha, 182.0, 100, 400
water_use_ML_per_Ha, 2.5, 2.5, 6.0
root_depth_m, 1.0, 0.35, 1.5
depletion_fraction, 0.55, 0.3, 0.7
et_coef, 110, 90, 120
wue_coef, 20, 15, 35
rotation_length, 4, 2, 4
