Variable, Best Guess, Min, Max
yield_per_Ha, 2.5, 1.5, 4.0
price_per_yield, 89.2, 50, 250
variable_cost_per_Ha, 168.0, 100, 250
water_use_ML_per_Ha, 2.5, 2.5, 6.0
root_depth_m, 1.0, 0.25, 1.5
depletion_fraction, 0.55, 0.3, 0.7
et_coef, 110, 90, 120
wue_coef, 20, 15, 35
rotation_length, 4, 2, 4
