Variable, Best Guess, Min, Max
yield_per_Ha, 49.4, 45, 85
price_per_yield, 250, 150, 350
variable_cost_per_Ha, 10000, 8500, 12500
water_use_ML_per_Ha, 6, 4, 14
root_depth_m, 1.0, 0.7, 1.3
et_coef, 90, 90, 120
wue_coef, 20, 15, 35
rotation_length, 15, 15, 15
