ID,Gauge,Name,CTF_low,CTF_mid,CTF_high,Event_threshold,Event_gap,Event_dur
1,419039,gw2,4000,7500,11000,4000,2,3
2,419021,gw4a,1800,4000,4500,1800,2,3
3,419021,gw4b,1800,4000,4500,1800,2,3
4,419026,gw7,1900,6300,14000,1900,2,3
5,419026,gw10a,1900,6300,14000,1900,2,3
6,419049,gw8,2000,2000,3000,2000,2,3
7,419049,gw9,2000,2000,3000,2000,2,3
8,419051,Maules,110,500,1000,110,2,3
