"Index","Mean_gwlevel","Med_baseflow","Ceaseflow_days","Totalflow","CTFlow_days","CTFlow_events","CTFmid_days","CTFmid_events","CTFhigh_days","CTFhigh_events","RRGMS","RRGRR","BBMS","BBRR","LGMS","LGRR","WCMS","WCRR"
1968,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1969,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1970,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1971,8.04,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1972,8.23,2.78,0,1363.2,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1973,8.5,7.98,0,8575.8,14,4,1,1,1,1,40.1,2.56,36.5,3.04,2.56,0,5.12,3.6
1974,8.01,12.2,0,56888.2,15,1,7,1,4,1,48.64,7.2,45.04,7.2,4.8,1.2,8.4,7.2
1975,7.95,11,0,11536.94,10,5,6,3,4,3,46.12,0.56,43.8,0,1.76,4.48,1.12,1.28
1976,7.16,16.27,0,31167.67,30,4,11,3,6,2,59.94,15.68,53.14,12.96,6.08,1.6,13.76,13.68
1977,6.78,16.8,0,49624.33,58,6,20,4,13,3,68.9,23.76,62.34,12.96,14.16,41.04,6.56,9.92
1978,7.09,22.38,0,38563.95,63,7,16,3,9,4,68.94,25.2,56.62,21.76,11.36,20.88,19.28,18.48
1979,7.41,7.32,6,6095.59,7,0,0,0,0,0,49.46,3.36,48.34,3.36,1.12,0.56,2.8,3.36
1980,7.69,2.33,0,1391.86,0,0,0,0,0,0,43.92,0,43.92,0,0,0,0,0
1981,8.04,1.79,0,5536.79,8,2,2,1,1,1,45.16,1.12,44.04,0,0.96,4.48,0,0
1982,7.94,8.64,0,9320.19,5,1,3,1,3,1,45.8,0.8,43.8,0.4,1.6,3.2,0.8,1.6
1983,7.94,11.84,0,20508.12,36,6,4,2,2,2,51.8,11.2,45.8,10.88,6.08,10.48,10.72,9.92
1984,7.29,37.48,0,75083.52,71,5,30,5,18,4,70.32,34.48,58.24,25.92,12.24,18.8,27.76,26.64
1985,7.49,10.47,0,5828.58,3,1,1,1,0,0,46.02,0.48,45.06,0,0.96,1.92,1.2,0
1986,7.76,4.54,2,5807.28,9,3,0,0,0,0,46.68,1.92,44.28,2.88,2.4,0,3.84,2.88
1987,7.72,8.77,5,7986.35,11,3,1,1,1,1,47.96,3.28,44.44,2.24,3.28,5.76,4.88,1.2
1988,7.73,12.46,0,17113.92,33,5,4,2,1,1,53.28,13.04,47.52,12.72,6,9.6,10.64,8.88
1989,7.35,24.66,0,41501.66,62,4,18,3,7,5,67.94,30.4,59.38,18.88,12.24,47.04,2.8,8
1990,7.25,18.04,0,36971.26,68,6,14,5,5,3,67.98,28,57.5,20.4,11.6,37.76,10.8,13.44
1991,7.21,12.33,0,7743.12,7,3,1,1,0,0,52.7,0.32,51.1,0,1.28,2.56,0.64,0
1992,7.33,5.23,0,3351.52,3,2,1,1,0,0,50.66,0,50.66,0,0,0,0,0
1993,7.57,3.5,9,3954.89,4,2,0,0,0,0,45.32,0.96,44.6,1.44,0.96,0,1.44,1.2
1994,7.97,3.72,33,1591.66,0,0,0,0,0,0,41.78,0,41.78,0,0,0,0,0
1995,8.32,1.24,76,4991.56,7,3,3,1,1,1,37.46,0.96,36.74,1.44,0.96,0,1.44,1.2
1996,8.01,8.23,0,23347.62,18,4,9,3,7,3,47.4,5.36,42.2,5.52,3.84,3.2,8.56,6.08
1997,7.39,14.26,0,51844.11,41,3,17,4,11,3,61.06,26.56,56.34,21.92,6.72,5.12,19.2,18.48
1998,7,11.99,0,127080.37,91,3,46,5,31,6,103,41.6,108.28,0,49.44,71.36,14.4,34.4
1999,7.05,7.55,0,2785.67,0,0,0,0,0,0,50.8,0,50.8,0,0,0,0,0
2000,7.22,6.07,0,6196,6,1,3,1,2,1,54.04,2.24,52.36,3.36,2.8,0,3.36,3.36
2001,7.29,3.59,0,4345.7,4,2,1,1,1,1,52.3,0.96,51.1,1.44,0.96,0,1.92,1.2
2002,7.77,0.61,71,754.67,0,0,0,0,0,0,43.86,0,43.86,0,0,0,0,0
2003,8.13,0.23,166,2634.2,4,3,1,1,1,1,41.76,0,41.76,0,0,0,0,0
2004,8.28,0.75,91,39088.03,10,4,7,3,4,2,38.2,1.6,37,2.4,2,0,2,2.4
2005,7.81,7.22,0,7054.57,5,3,1,1,1,1,44.62,0,44.62,0,0,0,0,0
2006,7.28,3.22,22,2887.14,1,1,1,1,1,1,50.62,0,50.62,0,0,0,0,0
2007,8.04,0,233,365.52,1,1,0,0,0,0,41.5,0,41.5,0,0,0,0,0
2008,8.58,0,183,903.22,2,1,0,0,0,0,36.6,0,36.6,0,0,0,0,0
2009,8.69,2.68,0,1021.82,0,0,0,0,0,0,36.5,0,36.5,0,0,0,0,0
2010,8.5,2.3,0,18801.74,35,7,7,3,3,2,45.16,13.44,39.48,16.32,5.04,1.92,14.16,13.92
2011,7.79,3.02,0,266.15,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
