"Index","Mean_gwlevel","Med_baseflow","Ceaseflow_days","Totalflow","CTFlow_days","CTFlow_events","CTFmid_days","CTFmid_events","CTFhigh_days","CTFhigh_events","RRGMS","RRGRR","BBMS","BBRR","LGMS","LGRR","WCMS","WCRR"
1996,17.53,35.02,0,280453.5,58,5,30,6,20,5,22.24,32.4,7.12,30.56,14,5.68,30.08,27.52
1997,18.02,93.21,0,484390.7,42,3,26,2,24,3,10.08,16.08,4.16,14.8,6,10,13.2,17.2
1998,17.92,227.09,0,2896098.04,153,4,142,4,133,6,69.2,47.28,96.72,3.52,78.48,106.32,25.92,45.2
1999,17.38,106.33,0,159968.69,23,4,5,2,2,1,6.08,7.84,0.88,9.52,4,3.44,8.88,8.72
2000,17.25,106.7,0,1051775.19,41,3,30,2,29,2,21.92,26.08,7.76,26,16.32,9.28,21.52,17.84
2001,17.12,100.58,0,127401.8,11,3,6,1,5,1,2.88,3.2,0.56,3.68,2.08,0,5.28,4.56
2002,17.26,39.39,0,39771.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17.91,12.1,0,44977.84,4,1,1,1,0,0,1.92,0.96,0,1.28,1.28,0,2.56,1.6
2004,18.39,23.86,43,413908.59,26,3,20,4,18,3,9.92,9.28,1.52,10.72,7.44,0.96,14.16,11.12
2005,18.56,56.94,15,183232.92,18,3,12,2,10,3,5.28,4.48,1.28,3.04,3.84,11.04,3.2,0.8
2006,18.91,24.77,54,27159.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,19.63,0.03,179,55441.64,9,2,4,1,2,1,3.52,2.72,0.8,3.36,3.2,1.92,5.44,3.36
2008,20.21,12.65,67,87387.01,14,3,6,2,3,2,4.8,4.24,0.48,6.24,3.68,0,7.28,6.48
2009,20.56,15.45,73,34415.11,3,0,2,0,2,0,1.44,1.44,0.48,1.92,1.2,0.24,1.92,1.44
2010,21.01,48.34,127,1291762.99,94,4,66,4,60,6,42.4,60.16,24.08,49.92,32.4,34.96,46.8,36.16
2011,21.16,61.02,0,55476.72,9,0,4,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA
