"Index","Mean_gwlevel","Med_baseflow","Ceaseflow_days","Totalflow","CTFlow_days","CTFlow_events","CTFmid_days","CTFmid_events","CTFhigh_days","CTFhigh_events","RRGMS","RRGRR","BBMS","BBRR","LGMS","LGRR","WCMS","WCRR"
1951,NA,963.72,0,522319.19,96,2,43,3,37,4,NA,NA,NA,NA,NA,NA,NA,NA
1952,NA,927.8,0,1013946.64,168,2,82,5,69,5,NA,NA,NA,NA,NA,NA,NA,NA
1953,NA,485.09,0,148819.96,15,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1954,NA,126.67,0,438186.46,66,2,50,2,46,2,NA,NA,NA,NA,NA,NA,NA,NA
1955,NA,1400.78,0,1155056.69,172,7,78,5,65,5,NA,NA,NA,NA,NA,NA,NA,NA
1956,NA,8308.9,0,1867764.69,174,1,151,3,147,3,NA,NA,NA,NA,NA,NA,NA,NA
1957,NA,383.44,0,69518.09,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1958,NA,245.44,0,307370.86,51,4,21,4,10,1,NA,NA,NA,NA,NA,NA,NA,NA
1959,NA,735.3,0,515569.74,91,6,24,3,17,4,NA,NA,NA,NA,NA,NA,NA,NA
1960,NA,371.88,0,329612.78,46,5,17,3,12,3,NA,NA,NA,NA,NA,NA,NA,NA
1961,NA,203.06,0,238988.53,34,4,13,2,10,2,NA,NA,NA,NA,NA,NA,NA,NA
1962,NA,1094.72,0,790390.86,170,4,49,4,23,2,NA,NA,NA,NA,NA,NA,NA,NA
1963,NA,1690.38,0,1059749.42,221,5,78,7,58,5,NA,NA,NA,NA,NA,NA,NA,NA
1964,NA,1835.49,0,1067541.49,233,6,77,6,65,6,NA,NA,NA,NA,NA,NA,NA,NA
1965,NA,98.53,0,94055.01,9,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1966,NA,42.04,15,91232.81,11,2,4,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA
1967,NA,39.81,23,84201.62,8,1,7,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA
1968,NA,182.6,0,482780.17,66,5,48,3,46,3,NA,NA,NA,NA,NA,NA,NA,NA
1969,14.26,369.1,0,430066.21,65,9,34,5,32,5,NA,NA,NA,NA,NA,NA,NA,NA
1970,14.43,169.7,0,168090.09,20,4,1,0,1,0,5.92,5.84,0.8,7.52,4.64,0.8,8.96,7.2
1971,14.03,944.18,0,2039917.08,135,3,67,4,64,4,83.2,90.08,55.52,32.48,62.4,60.48,65.28,65.28
1972,14.15,88.76,0,143035.93,20,3,0,0,0,0,7.2,7.36,1.68,9.12,5.52,0.64,11.68,10.08
1973,14.73,143.21,0,187768.37,24,7,5,2,2,1,4.56,5.52,0.56,7.36,3.12,0,8.88,8.16
1974,14.76,217.09,0,847624.5,34,2,21,1,21,1,16.32,24.8,6.96,20.96,11.28,4.64,19.44,16.32
1975,15.2,245.84,0,267652.97,37,6,11,3,7,3,7.44,7.2,1.76,7.04,4.64,10.32,8.56,9.28
1976,15.16,680.16,0,1415807.33,94,7,63,3,61,3,59.44,50.32,32.72,28.48,47.12,20.96,50.48,48.56
1977,14.45,1179.8,0,2177333.4,184,5,114,4,105,4,74.32,93.28,85.6,41.76,59.92,110.88,43.04,81.6
1978,13.96,539.23,0,1054711.35,151,5,92,7,79,7,70,89.04,46.88,53.2,56.8,69.44,54.64,57.36
1979,13.94,189.66,0,170234.83,16,4,5,1,3,1,4.8,5.6,0.72,6.96,2.72,0.72,6.88,5.92
1980,14.51,95.85,0,62589.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,15.24,68.58,1,107451.93,15,3,5,1,0,0,5.92,4.16,1.12,2.88,4.48,7.2,4.96,1.6
1982,15.24,34.51,0,51125.82,6,1,0,0,0,0,2.4,0.96,0.48,0.48,1.92,3.84,0.96,1.92
1983,15.99,192.93,0,446408.56,54,6,29,5,24,2,16.16,24.72,6.88,14.24,13.44,35.76,15.76,9.04
1984,15.86,709.31,0,1905218.48,143,5,111,4,106,4,64.96,89.76,41.84,56,43.76,51.68,52,60.88
1985,15.38,126.05,0,257453.24,36,4,15,3,11,2,9.52,13.28,2.24,14.32,5.92,9.36,15.12,12
1986,15.51,98.66,0,157564.22,17,3,6,1,4,1,3.52,4.32,0.64,3.2,2.24,7.68,2.4,1.6
1987,15.77,128.44,0,172549.45,23,3,11,2,9,2,7.36,7.36,1.28,6.88,5.2,7.2,10.16,5.68
1988,16.22,222.99,0,284254.5,44,8,14,4,7,1,7.2,9.84,2.32,9.44,5.76,16.24,8.24,7.84
1989,16.42,257.32,0,997277.7,111,4,61,4,52,4,34.88,56.16,24.64,28,25.92,84.8,5.76,20.32
1990,16.44,753.1,0,1165980.28,140,4,105,4,95,4,54.32,63.68,72.24,12.4,61.2,108.16,17.28,47.2
1991,16.08,266.55,0,740348.66,68,6,49,5,46,5,21.28,27.2,6.72,19.52,14.88,29.6,20.72,16.32
1992,15.77,142.68,0,219552.47,15,2,10,1,9,1,4.16,6.24,1.04,5.2,2.08,1.04,6.24,6.24
1993,16.02,91.41,0,147993.47,23,4,7,2,5,1,5.12,5.12,1.2,4.64,4.24,8.32,5.2,3.36
1994,16.51,22.51,8,36804.66,3,2,0,0,0,0,0,0,0,0,0,0,0,0
1995,17.07,2.16,98,93558.84,7,1,6,1,6,1,3.36,2.24,0.56,2.24,2.24,0,4.48,3.36
