"Index","Mean_gwlevel","Med_baseflow","Ceaseflow_days","Totalflow","CTFlow_days","CTFlow_events","CTFmid_days","CTFmid_events","CTFhigh_days","CTFhigh_events","RRGMS","RRGRR","BBMS","BBRR","LGMS","LGRR","WCMS","WCRR"
1968,20.5,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1969,20.63,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1970,20.79,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1971,20.59,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1972,20.71,0,107,40.45,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1973,21.48,0,283,143.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974,21.32,1.29,79,425848.5,22,1,22,1,21,1,12.32,14.08,3.52,10.56,8.8,3.52,14.08,10.56
1975,21.5,0,294,645.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,21.44,15.46,21,387073.42,34,1,34,1,28,1,10.88,25.52,7.68,20.8,8.4,4.96,16.32,16.08
1977,21.05,28.21,0,399533.43,46,2,46,2,44,2,23.68,28.16,9.6,22.24,15.52,17.44,20.8,16.32
1978,20.67,27.25,0,49608.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,20.36,1.7,55,12587.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,21.07,0,212,2512.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,22.12,0.08,145,9975.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,22.51,0,223,3485.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,23.38,9.37,124,39347.05,3,1,3,1,0,0,0.24,0.24,0.24,0,0.72,1.92,0,0.24
1984,22.56,82.28,0,164676.22,19,2,19,2,14,2,8.48,7.84,1.52,5.68,6.08,6.64,10.24,5.28
1985,21.22,2.55,97,15503.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,20.76,0.5,123,21943.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,20.69,0.01,160,12149.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,20.88,5.45,70,32079.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,20.79,11.52,69,124798.62,24,2,24,2,9,2,3.84,6.24,3.84,3.84,5.28,17.28,0,2.64
1990,20.42,53.54,65,89220.35,1,1,1,1,0,0,0,0,0,0,0,0,0,0
1991,19.62,12.64,34,87698.9,7,1,7,1,6,1,2.24,2.24,1.12,3.36,2.8,0,3.36,3.36
1992,19.68,3.02,61,9547.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,20.97,3.56,27,5824.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,22,0.1,140,2773.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,23.43,0,231,6961.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,23.78,0.73,39,7227.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,23.46,4.32,16,19671.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,23,5.57,49,900630.03,58,2,58,2,48,2,18.56,39.2,16.48,33.6,19.04,29.76,12.48,17.6
1999,22.04,16.41,0,17746.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,21.61,10.64,0,283600.18,26,2,26,2,22,2,14.4,17.52,4.08,17.28,12.48,5.76,15.84,12.48
2001,20.95,7.05,10,13830.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,21.21,0,251,3189.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,23.05,0,244,6694.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,23.97,0.06,170,11629.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,24.31,3.81,27,13102.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,24.76,0,225,3562.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,25.62,0,259,3819.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,26.15,0,211,4547.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,26.39,0,245,23191.65,3,1,3,1,2,1,0.48,0.72,0.24,0.96,0.48,0,1.2,1.2
2010,26.68,6.09,144,194256.67,25,1,25,1,15,1,14,18,4,18,12,4,16,12
2011,26.54,58.68,0,10823.81,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
