Variable, Best Guess, Min, Max
yield_per_Ha, 9.5, 5, 11
price_per_yield, 513, 350, 650
variable_cost_per_Ha, 1000.0, 500, 3000
water_use_ML_per_Ha, 5.0, 4.0, 7.0
