ID,node,water_volume
406213,1,0 
406215,2,0 
406216,3,0  
406217,4,0  
406262,5,0  
406214,6,0  
406235,7,0  
406226,8,0  
406219,9,0  
Dam,10,304650
406201,11,0  
406224,12,0  
406218,13,0  
406202,14,0   
406265,15,0  
