ID,node,storage_coef,area,max_storage
406214,6,0,0,0
406219,9,0,0,0
Dam,10,0.001,30.11,304650.0
406201,11,0,0,0
406224,12,0,0,0
406218,13,0,0,0
406202,14,0,0,0
406265,15,0,0,0
