ID,node,storage_coef,ET_f,area
406214,6,0.9,1.2,0.1
406219,9,0.9,1.2,0.1
Dam,10,0,0,0
406201,11,0.9,1.2,0.1
406224,12,0.9,1.2,0.1
406218,13,0.9,1.2,0.1
406202,14,0.9,1.2,0.1
406265,15,0.9,1.2,0.1
