ID,node,water_volume
406213,1,50
406215,2,100
406216,3,600
406217,4,300
406262,5,100
406214,6,190
406235,7,150
406226,8,500
406219,9,600
Dam,10,100000
406201,11,500
406224,12,500
406218,13,500
406202,14,500
406265,15,500
