ID,node,to node,type,a,b,h0
406214,6,11,IHACRES,1000,1.7,167.845
406219,9,10,IHACRES,1000,1.7,193.915
Dam,10,11,Dam,1000,1.7,154.6
406201,11,13,Routing,1000,1.7,133.718
406224,12,13,IHACRES,1000,1.7,130.984
406218,13,14,Routing,1000,1.7,111.932
406202,14,15,Routing,1000,1.7,104.981
406265,15,NaN,END,1000,1.7,87.397
