ID,node,water_deficit
406213,1,200
406215,2,200
406216,3,200
406217,4,200
406262,5,200
406214,6,200
406235,7,200
406226,8,200
406219,9,200
Dam,10,100000
406201,11,200
406224,12,200
406218,13,200
406202,14,200
406265,15,200
