ID,node,d1,d2,e,f,alpha,area,a
406214,6,206,400,1,160,0.90,268.77,0.7
406219,9,209,400,1,160,0.90,1985.73,0.7
Dam,10,210,400,1,160,0.90,30.11,0.7
406201,11,211,400,1,160,0.90,452.22,0.7
406224,12,212,400,1,160,0.90,220.71,0.7
406218,13,213,400,1,160,0.90,254.07,0.7
406202,14,214,400,1,160,0.90,62.78,0.7
406265,15,215,400,1,160,0.90,162.84,0.7
