Eco_site,Gauge,Name,ctf_low,ctf_mid,ctf_high,ctf_default,Event_gap,Event_dur
4,406202,Rochester,100,1500,12000,1500,2,3
5,406265,Echuca,100,1500,9000,1500,2,3
